name,price,status,shipping,free_returns,items_sold
DROP × TADA68 Mechanical Keyboard PCB –68-Key 65% -QMK Compatible–MX Mount –NewOpens in a new window or tab,1499,,0,,
"Lemokey X3 Mechanical Gaming Keyboard Wired, 100% Layout, Red Switches, BlackOpens in a new window or tab",2599,,0,,
Lenovo (Lecoo) GK301 Wired Mechanical Gaming Keyboard USB wired RGB backlightOpens in a new window or tab,2999,,0,,
"Higround SKYSTONE Basecamp 65% Mechanical USB Wired Gaming Keyboard, Silent G...Opens in a new window or tab",5000,,644,,
Alienware Low-Profile RGB Gaming Keyboard AW510K LightOpens in a new window or tab,7998,,0,,
New ListingRedragon K684 Tri-Mode RGB Backlit Wired Mechanical Gaming Keyboard NEW OPEN BOXOpens in a new window or tab,3999,,1279,,
Logitech - G515 LIGHTSPEED TKL Wireless Mechanical Keyboard - Black - 920-012423Opens in a new window or tab,6800,,0,False,38
"4IN1 LED Gamer Bundle Mechanical Kits,RGB PC Gaming Keyboard Mouse &Headset SetOpens in a new window or tab",3279,,0,True,152
Logitech G915 TKL Tenkeyless Lightspeed Wireless RGB Mechanical Gaming KeyboardOpens in a new window or tab,10999,,0,,
New Logitech MX Keys For Business Advanced Wireless Keyboard 920-010116Opens in a new window or tab,9995,,0,False,
Massdrop x OLKB Planck Keyboard Kit Gunmetal Case MX Compatible Plate Beige/BlacOpens in a new window or tab,3499,,0,,
Snpurdiri 60% Gaming Keyboard Ice Blue LED Backlit 61 Keys Mini Wired for PC MacOpens in a new window or tab,1898,,0,,39
New ListingAkko 3108 V2 Mechanical Keyboard Pink White USB Wired QWERTY MultimediaOpens in a new window or tab,2995,,1755,,
AULA F2088 Typewriter Mechanical Gaming Keyboard Wired with Removable Wrist RestOpens in a new window or tab,3699,eBay Refurbished,0,False,
"New ListingKeychron K2 Mechanical Keyboard, White Backlight, Pre-OwnedOpens in a new window or tab",2700,,943,,
"AULA WIN60 HE Wired Mechanical Gaming Keyboard 60%, Gray Wood Magnetic SwitchOpens in a new window or tab",3300,,965,False,
